snapshot_date,dest,metric,category,price_sgd,dep_date,ret_date,airline_out,airline_in,note
2026-06-02,HKT,one_way_june,priority,104,2026-06-28,,Scoot,,sia_scoot
2026-06-02,HKT,round_trip_june,priority,194,2026-06-28,2026-07-02,Scoot,Scoot,june_3to5n_sia_scoot
2026-06-02,TPE,one_way_june,priority,175,2026-06-02,,Scoot,,sia_scoot
2026-06-02,TPE,round_trip_june,priority,253,2026-05-19,2026-05-22,Scoot,Scoot,fallback_any_month_sia_scoot
2026-06-02,BKK,round_trip_june,reference,157,2026-05-06,2026-05-08,Thai Lion Air,Thai Lion Air,fallback_any_airline
2026-06-16,HKT,one_way_june,priority,104,2026-06-28,,Scoot,,sia_scoot
2026-06-16,TPE,one_way_june,priority,175,2026-06-02,,Scoot,,sia_scoot
2026-06-18,BKK,one_way_june,priority,155,2026-06-28,,Singapore Airlines,,sia_scoot
2026-06-18,HKT,one_way_june,priority,104,2026-06-28,,Scoot,,sia_scoot
2026-06-18,TPE,one_way_june,priority,175,2026-06-02,,Scoot,,sia_scoot
2026-06-22,BKK,one_way_june,priority,155,2026-06-28,,Singapore Airlines,,sia_scoot
2026-06-22,HKT,one_way_june,priority,104,2026-06-28,,Scoot,,sia_scoot
2026-06-22,TPE,one_way_june,priority,175,2026-06-02,,Scoot,,sia_scoot
2026-06-23,BKK,one_way_june,priority,155,2026-06-28,,Singapore Airlines,,sia_scoot
2026-06-23,HKT,one_way_june,priority,104,2026-06-28,,Scoot,,sia_scoot
2026-06-23,TPE,one_way_june,priority,175,2026-06-02,,Scoot,,sia_scoot
2026-06-24,BKK,one_way_june,priority,155,2026-06-28,,Singapore Airlines,,sia_scoot
2026-06-24,HKT,one_way_june,priority,104,2026-06-28,,Scoot,,sia_scoot
2026-06-24,TPE,one_way_june,priority,175,2026-06-02,,Scoot,,sia_scoot
2026-06-25,BKK,one_way_june,priority,155,2026-06-28,,Singapore Airlines,,sia_scoot
2026-06-25,HKT,one_way_june,priority,104,2026-06-28,,Scoot,,sia_scoot
2026-06-25,TPE,one_way_june,priority,175,2026-06-02,,Scoot,,sia_scoot
2026-06-29,BKK,one_way_june,priority,155,2026-06-28,,Singapore Airlines,,sia_scoot
2026-06-29,HKT,one_way_june,priority,104,2026-06-28,,Scoot,,sia_scoot
2026-06-29,TPE,one_way_june,priority,175,2026-06-02,,Scoot,,sia_scoot
